placed_by,order_id,exchange_order_id,parent_order_id,status,status_message,status_message_raw,order_timestamp,exchange_update_timestamp,exchange_timestamp,variety,exchange,tradingsymbol,instrument_token,order_type,transaction_type,validity,product,quantity,disclosed_quantity,price,trigger_price,average_price,filled_quantity,pending_quantity,cancelled_quantity,market_protection,meta,tag,guid
MGQ582,230828501496682,1693206193157655279,,COMPLETE,,,2023-08-28 12:45:01,2023-08-28 12:45:01,2023-08-28 12:45:01,regular,BSE,RTNINDIA,136856836,MARKET,BUY,DAY,CNC,1,0,0,0,58.72,1,0,0,0,{},,40404XTYoikADQCBGg
MGQ582,230828501496689,1693206193157655282,,COMPLETE,,,2023-08-28 12:45:01,2023-08-28 12:45:01,2023-08-28 12:45:01,regular,BSE,RTNINDIA,136856836,MARKET,BUY,DAY,CNC,1,0,0,0,58.72,1,0,0,0,{},,40404XXXswj02MbQYs
MGQ582,230828502088715,1693213917661042918,,COMPLETE,,,2023-08-28 14:47:01,2023-08-28 14:47:01,2023-08-28 14:47:01,regular,BSE,VENUSPIPES,139143172,MARKET,BUY,DAY,CNC,1,0,0,0,1511.0,1,0,0,0,{},,40404Xrm9oIDNoO6HZ
